tick,task_id,agent_id,result,cost
5,1,3,no_bid_resources,
5,1,4,no_bid_resources,
6,1,1,submitted,38.0
6,1,2,submitted,34.0
8,1,2,won,34.0
8,1,1,lost,38.0
10,2,3,no_bid_resources,
10,2,4,no_bid_resources,
11,2,2,submitted,27.0
11,2,1,submitted,23.0
15,3,3,no_bid_resources,
15,3,4,no_bid_resources,
16,3,1,submitted,14.0
16,3,2,submitted,12.0
19,2,1,won,23.0
19,2,2,lost,27.0
20,4,1,no_bid_resources,
20,4,3,no_bid_resources,
20,4,4,no_bid_resources,
21,4,2,submitted,23.0
23,3,2,won,12.0
23,3,1,lost,14.0
25,5,1,no_bid_resources,
25,5,3,no_bid_resources,
25,5,4,no_bid_resources,
25,4,2,won,23.0
30,6,1,no_bid_resources,
30,6,3,no_bid_resources,
30,6,4,no_bid_resources,
34,5,,no_bid,
35,7,1,no_bid_resources,
35,7,3,no_bid_resources,
35,7,4,no_bid_resources,
38,6,,no_bid,
40,8,1,no_bid_resources,
40,8,3,no_bid_resources,
40,8,4,no_bid_resources,
42,7,,no_bid,
45,9,1,no_bid_resources,
45,9,3,no_bid_resources,
45,9,4,no_bid_resources,
48,8,,no_bid,
50,10,1,no_bid_resources,
50,10,3,no_bid_resources,
50,10,4,no_bid_resources,
50,9,,no_bid,
54,10,,no_bid,
55,11,1,no_bid_resources,
55,11,3,no_bid_resources,
55,11,4,no_bid_resources,
60,12,1,no_bid_resources,
60,12,3,no_bid_resources,
60,12,4,no_bid_resources,
63,11,,no_bid,
64,12,,no_bid,
65,13,1,no_bid_resources,
65,13,3,no_bid_resources,
65,13,4,no_bid_resources,
70,14,1,no_bid_resources,
70,14,3,no_bid_resources,
70,14,4,no_bid_resources,
73,13,,no_bid,
75,15,1,no_bid_resources,
75,15,3,no_bid_resources,
75,15,4,no_bid_resources,
75,14,,no_bid,
79,15,,no_bid,
80,16,1,no_bid_resources,
80,16,3,no_bid_resources,
80,16,4,no_bid_resources,
85,17,1,no_bid_resources,
85,17,3,no_bid_resources,
85,17,4,no_bid_resources,
89,16,,no_bid,
90,18,1,no_bid_resources,
90,18,3,no_bid_resources,
90,18,4,no_bid_resources,
94,17,,no_bid,
95,19,1,no_bid_resources,
95,19,3,no_bid_resources,
95,19,4,no_bid_resources,
96,18,,no_bid,
