tick,phase,agent,details
1,AGENT_IDLE,4,Agent 4 is idle
1,AGENT_IDLE,3,Agent 3 is idle
1,AGENT_IDLE,1,Agent 1 is idle
1,AGENT_IDLE,2,Agent 2 is idle
2,AGENT_IDLE,1,Agent 1 is idle
2,AGENT_IDLE,2,Agent 2 is idle
2,AGENT_IDLE,4,Agent 4 is idle
2,AGENT_IDLE,3,Agent 3 is idle
3,AGENT_IDLE,1,Agent 1 is idle
3,AGENT_IDLE,2,Agent 2 is idle
3,AGENT_IDLE,4,Agent 4 is idle
3,AGENT_IDLE,3,Agent 3 is idle
4,AGENT_IDLE,2,Agent 2 is idle
4,AGENT_IDLE,1,Agent 1 is idle
4,AGENT_IDLE,4,Agent 4 is idle
4,AGENT_IDLE,3,Agent 3 is idle
5,AGENT_IDLE,2,Agent 2 is idle
5,AGENT_IDLE,1,Agent 1 is idle
5,AGENT_IDLE,3,Agent 3 is idle
5,AGENT_IDLE,4,Agent 4 is idle
5,AUCTION_ANNOUNCE,,"T-001: Depot D8 (15, 31) -> Ziel Z4 (42, 47) bis 8"
5,TASK_OPEN,,"T-001 open: awaiting bids for Destination Z4 (42, 47), deadline 8"
5,AGENT_NO_BID,1,"T-001 Agent 1: Not reachable. Distance 64.0, Energy range 50.0."
5,AGENT_NO_BID,2,"T-001 Agent 2: Not reachable. Distance 88.0, Energy range 50.0."
5,AGENT_NO_BID,3,"T-001 Agent 3: Not reachable. Distance 55.0, Energy range 33.3."
5,AGENT_NO_BID,4,"T-001 Agent 4: Not reachable. Distance 57.0, Energy range 33.3."
6,AGENT_IDLE,2,Agent 2 is idle
6,AGENT_IDLE,4,Agent 4 is idle
6,AGENT_IDLE,1,Agent 1 is idle
6,AGENT_IDLE,3,Agent 3 is idle
7,AGENT_IDLE,1,Agent 1 is idle
7,AGENT_IDLE,2,Agent 2 is idle
7,AGENT_IDLE,3,Agent 3 is idle
7,AGENT_IDLE,4,Agent 4 is idle
8,AGENT_IDLE,1,Agent 1 is idle
8,AGENT_IDLE,3,Agent 3 is idle
8,AGENT_IDLE,2,Agent 2 is idle
8,AGENT_IDLE,4,Agent 4 is idle
8,AUCTION_NO_BID,,T-001 ohne Gebot
9,AGENT_IDLE,3,Agent 3 is idle
9,AGENT_IDLE,4,Agent 4 is idle
9,AGENT_IDLE,1,Agent 1 is idle
9,AGENT_IDLE,2,Agent 2 is idle
10,AGENT_IDLE,3,Agent 3 is idle
10,AGENT_IDLE,4,Agent 4 is idle
10,AGENT_IDLE,2,Agent 2 is idle
10,AGENT_IDLE,1,Agent 1 is idle
10,AUCTION_ANNOUNCE,,"T-002: Depot D9 (18, 18) -> Ziel Z3 (49, 1) bis 12"
10,TASK_OPEN,,"T-002 open: awaiting bids for Destination Z3 (49, 1), deadline 12"
10,AGENT_NO_BID,1,"T-002 Agent 1: Not reachable. Distance 67.0, Energy range 50.0."
10,AGENT_NO_BID,2,"T-002 Agent 2: Not reachable. Distance 77.0, Energy range 50.0."
10,AGENT_NO_BID,3,"T-002 Agent 3: Not reachable. Distance 64.0, Energy range 33.3."
10,AGENT_NO_BID,4,"T-002 Agent 4: Not reachable. Distance 72.0, Energy range 33.3."
11,AGENT_IDLE,4,Agent 4 is idle
11,AGENT_IDLE,2,Agent 2 is idle
11,AGENT_IDLE,1,Agent 1 is idle
11,AGENT_IDLE,3,Agent 3 is idle
12,AGENT_IDLE,1,Agent 1 is idle
12,AGENT_IDLE,4,Agent 4 is idle
12,AGENT_IDLE,3,Agent 3 is idle
12,AGENT_IDLE,2,Agent 2 is idle
12,AUCTION_NO_BID,,T-002 ohne Gebot
13,AGENT_IDLE,1,Agent 1 is idle
13,AGENT_IDLE,2,Agent 2 is idle
13,AGENT_IDLE,3,Agent 3 is idle
13,AGENT_IDLE,4,Agent 4 is idle
14,AGENT_IDLE,3,Agent 3 is idle
14,AGENT_IDLE,1,Agent 1 is idle
14,AGENT_IDLE,4,Agent 4 is idle
14,AGENT_IDLE,2,Agent 2 is idle
15,AGENT_IDLE,2,Agent 2 is idle
15,AGENT_IDLE,4,Agent 4 is idle
15,AGENT_IDLE,1,Agent 1 is idle
15,AGENT_IDLE,3,Agent 3 is idle
15,AUCTION_ANNOUNCE,,"T-003: Depot D6 (31, 42) -> Ziel Z1 (23, 36) bis 21"
15,TASK_OPEN,,"T-003 open: awaiting bids for Destination Z1 (23, 36), deadline 21"
15,AGENT_NO_BID,1,"T-003 Agent 1: Not reachable. Distance 62.0, Energy range 50.0."
15,AGENT_NO_BID,2,"T-003 Agent 2: Not reachable. Distance 54.0, Energy range 50.0."
15,AGENT_NO_BID,3,"T-003 Agent 3: Not reachable. Distance 53.0, Energy range 33.3."
16,AGENT_IDLE,1,Agent 1 is idle
16,AGENT_IDLE,2,Agent 2 is idle
16,AUCTION_BID,4,T-003 Agent 4 Kosten 27.0
16,AGENT_IDLE,4,Agent 4 is idle
16,AGENT_IDLE,3,Agent 3 is idle
