tick,total_agents,active_agents,stranded_agents,total_tasks,open_tasks,in_transit_tasks,delivered_tasks,total_load,packages_created
1,4,4,0,0,0,0,0,0,0
2,4,4,0,0,0,0,0,0,0
3,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
5,4,4,0,1,1,0,0,0,1
6,4,4,0,1,1,0,0,0,0
7,4,4,0,1,1,0,0,0,0
8,4,4,0,1,0,0,0,0,0
9,4,4,0,1,0,0,0,0,0
10,4,4,0,2,1,0,0,0,1
11,4,4,0,2,1,0,0,0,0
12,4,4,0,2,1,0,0,0,0
13,4,4,0,2,1,0,0,0,0
14,4,4,0,2,1,0,0,0,0
15,4,4,0,3,2,0,0,0,1
16,4,4,0,3,2,0,0,0,0
17,4,3,1,3,2,0,0,0,0
18,4,3,1,3,2,0,0,0,0
19,4,2,2,3,1,0,0,0,0
20,4,2,2,4,2,0,0,0,1
21,4,2,2,4,2,0,0,0,0
22,4,2,2,4,2,0,0,0,0
23,4,2,2,4,1,0,0,0,0
24,4,2,2,4,1,0,0,0,0
25,4,2,2,5,1,0,0,0,1
26,4,2,2,5,1,0,0,0,0
27,4,2,2,5,1,0,0,0,0
28,4,2,2,5,1,0,0,0,0
29,4,2,2,5,1,0,0,0,0
30,4,2,2,6,2,0,0,0,1
31,4,2,2,6,2,0,0,0,0
32,4,2,2,6,2,0,0,0,0
33,4,2,2,6,2,0,0,0,0
34,4,2,2,6,1,0,0,0,0
35,4,2,2,7,2,0,0,0,1
36,4,2,2,7,2,0,0,0,0
37,4,2,2,7,2,0,0,0,0
38,4,2,2,7,1,0,0,0,0
39,4,2,2,7,1,0,0,0,0
40,4,2,2,8,2,0,0,0,1
41,4,2,2,8,2,0,0,0,0
42,4,2,2,8,1,0,0,0,0
43,4,2,2,8,1,0,0,0,0
44,4,2,2,8,1,0,0,0,0
45,4,2,2,9,2,0,0,0,1
46,4,2,2,9,2,0,0,0,0
47,4,2,2,9,2,0,0,0,0
48,4,2,2,9,1,0,0,0,0
49,4,2,2,9,1,0,0,0,0
50,4,1,3,10,1,0,0,0,1
51,4,1,3,10,1,0,0,0,0
52,4,1,3,10,1,0,0,0,0
53,4,1,3,10,1,0,0,0,0
54,4,1,3,10,0,0,0,0,0
55,4,1,3,11,1,0,0,0,1
56,4,1,3,11,1,0,0,0,0
57,4,1,3,11,1,0,0,0,0
58,4,1,3,11,1,0,0,0,0
59,4,1,3,11,1,0,0,0,0
60,4,1,3,12,2,0,0,0,1
61,4,1,3,12,2,0,0,0,0
62,4,1,3,12,2,0,0,0,0
63,4,1,3,12,1,0,0,0,0
64,4,1,3,12,0,0,0,0,0
65,4,1,3,13,1,0,0,0,1
66,4,1,3,13,1,0,0,0,0
67,4,1,3,13,1,0,0,0,0
68,4,1,3,13,1,0,0,0,0
69,4,1,3,13,1,0,0,0,0
70,4,1,3,14,2,0,0,0,1
71,4,1,3,14,2,0,0,0,0
72,4,1,3,14,2,0,0,0,0
73,4,1,3,14,1,0,0,0,0
74,4,1,3,14,1,0,0,0,0
75,4,1,3,15,1,0,0,0,1
76,4,1,3,15,1,0,0,0,0
77,4,1,3,15,1,0,0,0,0
78,4,1,3,15,1,0,0,0,0
79,4,1,3,15,0,0,0,0,0
80,4,1,3,16,1,0,0,0,1
81,4,1,3,16,1,0,0,0,0
82,4,1,3,16,1,0,0,0,0
83,4,1,3,16,1,0,0,0,0
84,4,1,3,16,1,0,0,0,0
85,4,1,3,17,2,0,0,0,1
86,4,1,3,17,2,0,0,0,0
87,4,1,3,17,2,0,0,0,0
88,4,1,3,17,2,0,0,0,0
89,4,1,3,17,1,0,0,0,0
90,4,1,3,18,2,0,0,0,1
91,4,1,3,18,2,0,0,0,0
92,4,1,3,18,2,0,0,0,0
93,4,1,3,18,2,0,0,0,0
94,4,1,3,18,1,0,0,0,0
95,4,1,3,19,2,0,0,0,1
96,4,0,4,19,1,0,0,0,0
